pc_loc,hot_loc
"50.580649,-113.872256","50.7980895,-114.8468122"
"50.580649,-113.872256","50.8627443,-114.7954559"
"50.580649,-113.872256","50.60375,-114.98474"
"50.580649,-113.872256","50.8429257,-114.8487139"
"50.580649,-113.872256","50.858334,-114.7941598"
"50.580649,-113.872256","50.5224824,-114.8401684"
"50.580649,-113.872256","50.5209579,-114.7725981"
"50.580649,-113.872256","50.793767,-114.8556157"
"50.580649,-113.872256","50.8624904,-114.7936736"
"49.262023,-113.858607","49.0172699,-114.0461969"
"49.262023,-113.858607","49.0529453,-114.0582561"
"49.262023,-113.858607","49.0247222,-113.9975"
"49.262023,-113.858607","49.0783708,-113.9677638"
"49.262023,-113.858607","49.0173825,-114.0564537"
"49.262023,-113.858607","49.0249688,-113.6857282"
"51.080107,-113.948223","50.7980895,-114.8468122"
"51.080107,-113.948223","50.8627443,-114.7954559"
"51.080107,-113.948223","50.8429257,-114.8487139"
"51.080107,-113.948223","50.858334,-114.7941598"
"51.080107,-113.948223","50.793767,-114.8556157"
"51.080107,-113.948223","50.8624904,-114.7936736"
"52.876784,-118.081408","52.6812216,-118.0447912"
"52.876784,-118.081408","53.0586103,-118.1105986"
"52.876784,-118.081408","52.6669499,-118.043453"
"52.876784,-118.081408","52.7196584,-118.277607"
"51.246372,-114.482156","50.7980895,-114.8468122"
"51.246372,-114.482156","50.8627443,-114.7954559"
"51.246372,-114.482156","50.6352591,-115.0207181"
"51.246372,-114.482156","50.60375,-114.98474"
"51.246372,-114.482156","50.8429257,-114.8487139"
"51.246372,-114.482156","50.858334,-114.7941598"
"51.246372,-114.482156","50.793767,-114.8556157"
"51.246372,-114.482156","50.8624904,-114.7936736"
