locality_id,postal_code,cost_time,cost_driving,cost_total
L3444215,T2C0X4,28.574117647058824,57.186,85.76011764705882
L3444215,T2C3V6,45.09741176470588,57.186,102.28341176470587
L3444215,T2C4H8,45.15952941176471,57.186,102.34552941176472
L3444215,T2C0N9,25.21976470588235,57.186,82.40576470588235
L3444215,T2C4C2,49.756235294117644,57.186,106.94223529411764
L3444215,T2C3P7,41.61882352941176,57.186,98.80482352941176
L4434824,T2C0X4,19.915294117647058,36.966,56.88129411764706
L4434824,T2C3V6,31.431529411764703,36.966,68.39752941176471
L4434824,T2C4H8,31.474823529411765,36.966,68.44082352941177
L4434824,T2C0N9,17.57741176470588,36.966,54.54341176470588
L4434824,T2C4C2,34.678588235294114,36.966,71.64458823529412
L4434824,T2C3P7,29.00705882352941,36.966,65.97305882352941
L419095,T2C0X4,20.492549019607843,39.144,59.63654901960784
L419095,T2C3V6,32.342588235294116,39.144,71.486588235294107
L419095,T2C4H8,32.38713725490196,39.144,71.53113725490195
L419095,T2C0N9,18.08690196078431,39.144,57.23090196078431
L419095,T2C4C2,35.68376470588235,39.144,74.82776470588234
L419095,T2C3P7,29.847843137254902,39.144,68.9918431372549
L604151,T2C0X4,12.410980392156862,24.708,37.11898039215686
L604151,T2C3V6,19.587764705882353,24.708,44.29576470588235
L604151,T2C4H8,19.614745098039215,24.708,44.32274509803921
L604151,T2C0N9,10.954039215686274,24.708,35.66203921568627
L604151,T2C4C2,21.61129411764706,24.708,46.31929411764706
L604151,T2C3P7,18.07686274509804,24.708,42.78486274509804
L293997,T2C0X4,21.647058823529413,35.952,57.59905882352941
L293997,T2C3V6,34.16470588235294,35.952,70.11670588235293
L293997,T2C4H8,34.21176470588235,35.952,70.16376470588236
L293997,T2C0N9,19.105882352941176,35.952,55.05788235294118
L293997,T2C4C2,37.694117647058825,35.952,73.64611764705882
L293997,T2C3P7,31.529411764705884,35.952,67.48141176470588
L3919690,T2C0X4,30.017254901960786,49.302,79.31925490196079
L3919690,T2C3V6,47.375058823529415,49.302,96.67705882352942
L3919690,T2C4H8,47.4403137254902,49.302,96.74231372549019
L3919690,T2C0N9,26.49349019607843,49.302,75.79549019607843
L3919690,T2C4C2,52.269176470588235,49.302,101.57117647058823
L3919690,T2C3P7,43.72078431372549,49.302,93.02278431372548
L4434750,T2C0X4,18.4721568627451,30.371999999999996,48.844156862745095
L4434750,T2C3V6,29.153882352941178,30.371999999999996,59.525882352941174
L4434750,T2C4H8,29.194039215686274,30.371999999999996,59.566039215686274
L4434750,T2C0N9,16.303686274509804,30.371999999999996,46.6756862745098
L4434750,T2C4C2,32.16564705882353,30.371999999999996,62.537647058823524
L4434750,T2C3P7,26.905098039215687,30.371999999999996,57.27709803921569
L2586491,T2C0X4,22.224313725490198,41.897999999999996,64.12231372549019
L2586491,T2C3V6,35.07576470588236,41.897999999999996,76.97376470588236
L2586491,T2C4H8,35.12407843137255,41.897999999999996,77.02207843137255
L2586491,T2C0N9,19.615372549019607,41.897999999999996,61.51337254901961
L2586491,T2C4C2,38.69929411764706,41.897999999999996,80.59729411764705
L2586491,T2C3P7,32.37019607843137,41.897999999999996,74.26819607843137
L361663,T2C0X4,21.069803921568628,39.894,60.963803921568626
L361663,T2C3V6,33.25364705882353,39.894,73.14764705882354
L361663,T2C4H8,33.29945098039216,39.894,73.19345098039216
L361663,T2C0N9,18.596392156862745,39.894,58.49039215686274
L361663,T2C4C2,36.688941176470586,39.894,76.58294117647058
L361663,T2C3P7,30.68862745098039,39.894,70.5826274509804
L434506,T2C0X4,17.60627450980392,27.354000000000003,44.960274509803924
L434506,T2C3V6,27.787294117647058,27.354000000000003,55.141294117647064
L434506,T2C4H8,27.82556862745098,27.354000000000003,55.17956862745098
L434506,T2C0N9,15.539450980392155,27.354000000000003,42.89345098039216
L434506,T2C4C2,30.657882352941176,27.354000000000003,58.01188235294118
L434506,T2C3P7,25.64392156862745,27.354000000000003,52.997921568627454
L374723,T2C0X4,15.585882352941178,25.068,40.65388235294118
L374723,T2C3V6,24.59858823529412,25.068,49.66658823529412
L374723,T2C4H8,24.632470588235297,25.068,49.7004705882353
L374723,T2C0N9,13.756235294117648,25.068,38.82423529411765
L374723,T2C4C2,27.139764705882353,25.068,52.207764705882354
L374723,T2C3P7,22.701176470588237,25.068,47.769176470588235
L405210,T2C0X4,16.740392156862743,29.094,45.83439215686275
L405210,T2C3V6,26.42070588235294,29.094,55.51470588235294
L405210,T2C4H8,26.457098039215687,29.094,55.55109803921569
L405210,T2C0N9,14.775215686274509,29.094,43.86921568627451
L405210,T2C4C2,29.15011764705882,29.094,58.24411764705882
L405210,T2C3P7,24.382745098039212,29.094,53.47674509803922
L796823,T2C0X4,22.51294117647059,43.836,66.34894117647059
L796823,T2C3V6,35.531294117647064,43.836,79.36729411764706
L796823,T2C4H8,35.58023529411765,43.836,79.41623529411766
L796823,T2C0N9,19.870117647058823,43.836,63.70611764705882
L796823,T2C4C2,39.201882352941176,43.836,83.03788235294118
L796823,T2C3P7,32.790588235294116,43.836,76.62658823529412
L728322,T2C0X4,20.492549019607843,41.022,61.51454901960784
L728322,T2C3V6,32.342588235294116,41.022,73.36458823529412
L728322,T2C4H8,32.38713725490196,41.022,73.40913725490196
L728322,T2C0N9,18.08690196078431,41.022,59.10890196078431
L728322,T2C4C2,35.68376470588235,41.022,76.70576470588236
L728322,T2C3P7,29.847843137254902,41.022,70.8698431372549
L383716,T2C0X4,31.46039215686275,56.4,87.86039215686274
L383716,T2C3V6,49.65270588235295,56.4,106.05270588235294
L383716,T2C4H8,49.72109803921569,56.4,106.1210980392157
L383716,T2C0N9,27.76721568627451,56.4,84.16721568627452
L383716,T2C4C2,54.782117647058826,56.4,111.18211764705882
L383716,T2C3P7,45.82274509803922,56.4,102.22274509803921
L451823,T2C0X4,21.069803921568628,33.426,54.49580392156863
L451823,T2C3V6,33.25364705882353,33.426,66.67964705882353
L451823,T2C4H8,33.29945098039216,33.426,66.72545098039217
L451823,T2C0N9,18.596392156862745,33.426,52.02239215686275
L451823,T2C4C2,36.688941176470586,33.426,70.11494117647058
L451823,T2C3P7,30.68862745098039,33.426,64.1146274509804
L6202259,T2C0X4,17.31764705882353,36.486,53.80364705882353
L6202259,T2C3V6,27.331764705882353,36.486,63.817764705882354
L6202259,T2C4H8,27.369411764705884,36.486,63.85541176470588
L6202259,T2C0N9,15.28470588235294,36.486,51.770705882352935
L6202259,T2C4C2,30.155294117647056,36.486,66.64129411764705
L6202259,T2C3P7,25.223529411764705,36.486,61.709529411764706
L452820,T2C0X4,21.647058823529413,38.748,60.39505882352941
L452820,T2C3V6,34.16470588235294,38.748,72.91270588235294
L452820,T2C4H8,34.21176470588235,38.748,72.95976470588235
L452820,T2C0N9,19.105882352941176,38.748,57.85388235294117
L452820,T2C4C2,37.694117647058825,38.748,76.44211764705882
L452820,T2C3P7,31.529411764705884,38.748,70.27741176470587
L3670796,T2C0X4,NA,NA,NA
L3670796,T2C3V6,NA,NA,NA
L3670796,T2C4H8,NA,NA,NA
L3670796,T2C0N9,NA,NA,NA
L3670796,T2C4C2,NA,NA,NA
L3670796,T2C3P7,NA,NA,NA
L356247,T2C0X4,21.935686274509806,40.902,62.83768627450981
L356247,T2C3V6,34.62023529411765,40.902,75.52223529411765
L356247,T2C4H8,34.66792156862745,40.902,75.56992156862745
L356247,T2C0N9,19.36062745098039,40.902,60.26262745098039
L356247,T2C4C2,38.196705882352944,40.902,79.09870588235295
L356247,T2C3P7,31.949803921568627,40.902,72.85180392156863
L2451734,T2C0X4,12.699607843137255,19.128,31.827607843137255
L2451734,T2C3V6,20.04329411764706,19.128,39.171294117647065
L2451734,T2C4H8,20.070901960784315,19.128,39.19890196078431
L2451734,T2C0N9,11.20878431372549,19.128,30.336784313725488
L2451734,T2C4C2,22.113882352941175,19.128,41.241882352941175
L2451734,T2C3P7,18.497254901960783,19.128,37.62525490196079
L1146986,T2C0X4,19.915294117647058,39.306000000000004,59.22129411764706
L1146986,T2C3V6,31.431529411764703,39.306000000000004,70.73752941176471
L1146986,T2C4H8,31.474823529411765,39.306000000000004,70.78082352941178
L1146986,T2C0N9,17.57741176470588,39.306000000000004,56.88341176470588
L1146986,T2C4C2,34.678588235294114,39.306000000000004,73.98458823529413
L1146986,T2C3P7,29.00705882352941,39.306000000000004,68.31305882352942
L604150,T2C0X4,14.431372549019608,19.656,34.087372549019605
L604150,T2C3V6,22.776470588235295,19.656,42.43247058823529
L604150,T2C4H8,22.807843137254903,19.656,42.4638431372549
L604150,T2C0N9,12.737254901960783,19.656,32.39325490196078
L604150,T2C4C2,25.129411764705882,19.656,44.785411764705884
L604150,T2C3P7,21.019607843137255,19.656,40.67560784313726
