locality_id,hot_loc,postal_code,pc_loc,km,hours
L299543,"51.1722383,-115.5931835",T2C0X4,"50.9801825,-114.015448666667",140.04,1.6
L299543,"51.1722383,-115.5931835",T2C3V6,"50.9801825,-114.015448666667",140.04,1.6
L299543,"51.1722383,-115.5931835",T2C4H8,"50.9801825,-114.015448666667",140.04,1.6
L299543,"51.1722383,-115.5931835",T2C0N9,"50.9801825,-114.015448666667",140.04,1.6
L299543,"51.1722383,-115.5931835",T2C4C2,"50.9801825,-114.015448666667",140.04,1.6
L299543,"51.1722383,-115.5931835",T2C3P7,"50.9801825,-114.015448666667",140.04,1.6
L345993,"51.17626,-115.5608",T2C0X4,"50.9801825,-114.015448666667",139.06,1.6
L345993,"51.17626,-115.5608",T2C3V6,"50.9801825,-114.015448666667",139.06,1.6
L345993,"51.17626,-115.5608",T2C4H8,"50.9801825,-114.015448666667",139.06,1.6
L345993,"51.17626,-115.5608",T2C0N9,"50.9801825,-114.015448666667",139.06,1.6
L345993,"51.17626,-115.5608",T2C4C2,"50.9801825,-114.015448666667",139.06,1.6
L345993,"51.17626,-115.5608",T2C3P7,"50.9801825,-114.015448666667",139.06,1.6
L163245,"51.1784927,-115.6018546",T2C0X4,"50.9801825,-114.015448666667",138.29,1.51
L163245,"51.1784927,-115.6018546",T2C3V6,"50.9801825,-114.015448666667",138.29,1.51
L163245,"51.1784927,-115.6018546",T2C4H8,"50.9801825,-114.015448666667",138.29,1.51
L163245,"51.1784927,-115.6018546",T2C0N9,"50.9801825,-114.015448666667",138.29,1.51
L163245,"51.1784927,-115.6018546",T2C4C2,"50.9801825,-114.015448666667",138.29,1.51
L163245,"51.1784927,-115.6018546",T2C3P7,"50.9801825,-114.015448666667",138.29,1.51
L1088329,"51.1784232,-115.5707464",T2C0X4,"50.9801825,-114.015448666667",137.91,1.51
L1088329,"51.1784232,-115.5707464",T2C3V6,"50.9801825,-114.015448666667",137.91,1.51
L1088329,"51.1784232,-115.5707464",T2C4H8,"50.9801825,-114.015448666667",137.91,1.51
L1088329,"51.1784232,-115.5707464",T2C0N9,"50.9801825,-114.015448666667",137.91,1.51
L1088329,"51.1784232,-115.5707464",T2C4C2,"50.9801825,-114.015448666667",137.91,1.51
L1088329,"51.1784232,-115.5707464",T2C3P7,"50.9801825,-114.015448666667",137.91,1.51
L624083,"50.5969496,-114.9880251",T2C0X4,"50.9801825,-114.015448666667",NA,NA
L624083,"50.5969496,-114.9880251",T2C3V6,"50.9801825,-114.015448666667",NA,NA
L624083,"50.5969496,-114.9880251",T2C4H8,"50.9801825,-114.015448666667",NA,NA
