pc_loc,hot_loc
"50.9801825,-114.015448666667","50.5969496,-114.9880251"
"50.9801825,-114.015448666667","51.2782396,-115.6372833"
"50.9801825,-114.015448666667","50.6352591,-115.0207181"
"50.9801825,-114.015448666667","50.60375,-114.98474"
"50.9801067142857,-114.101655","51.2782396,-115.6372833"
"50.9801067142857,-114.101655","51.0746763,-115.7789543"
"51.174486,-115.571193","50.5224824,-114.8401684"
"51.174486,-115.571193","50.5209579,-114.7725981"
"51.099515,-114.08365725","50.5969496,-114.9880251"
"51.099515,-114.08365725","51.2782396,-115.6372833"
"51.099515,-114.08365725","51.0746763,-115.7789543"
"51.099515,-114.08365725","50.6352591,-115.0207181"
"51.099515,-114.08365725","50.60375,-114.98474"
"51.099515,-114.08365725","50.5224824,-114.8401684"
"51.099515,-114.08365725","50.5209579,-114.7725981"
"51.1166473571429,-114.148970285714","50.5969496,-114.9880251"
"51.1166473571429,-114.148970285714","51.2782396,-115.6372833"
"51.1166473571429,-114.148970285714","51.0746763,-115.7789543"
"51.1166473571429,-114.148970285714","50.6352591,-115.0207181"
"51.1166473571429,-114.148970285714","50.60375,-114.98474"
"51.1166473571429,-114.148970285714","50.5224824,-114.8401684"
"49.569802,-114.378208","50.5224824,-114.8401684"
"49.569802,-114.378208","50.5209579,-114.7725981"
"51.195784,-114.476901","51.2782396,-115.6372833"
"51.195784,-114.476901","51.0746763,-115.7789543"
"51.195784,-114.476901","51.4842692,-116.0776806"
"51.0313607142857,-114.186204714286","51.2782396,-115.6372833"
"51.0313607142857,-114.186204714286","51.0746763,-115.7789543"
"51.0985833333333,-114.127522","50.5969496,-114.9880251"
"51.0985833333333,-114.127522","51.2782396,-115.6372833"
"51.0985833333333,-114.127522","51.0746763,-115.7789543"
"51.0985833333333,-114.127522","50.6352591,-115.0207181"
"51.0985833333333,-114.127522","50.60375,-114.98474"
"51.0985833333333,-114.127522","50.5224824,-114.8401684"
"51.0188376666667,-114.137725166667","51.2782396,-115.6372833"
"51.0188376666667,-114.137725166667","51.0746763,-115.7789543"
"51.0630699375,-114.1062215625","51.2782396,-115.6372833"
"51.0630699375,-114.1062215625","51.0746763,-115.7789543"
"51.0440662727273,-114.130686","51.2782396,-115.6372833"
"51.0440662727273,-114.130686","51.0746763,-115.7789543"
"49.714875,-112.838027","49.0172699,-114.0461969"
"49.714875,-112.838027","49.1308275,-114.02692"
"49.714875,-112.838027","49.1293831,-114.029181"
"49.714875,-112.838027","49.0977994,-113.9510707"
"49.714875,-112.838027","49.0529453,-114.0582561"
"49.714875,-112.838027","49.0247222,-113.9975"
"49.714875,-112.838027","49.0783708,-113.9677638"
"49.714875,-112.838027","49.0173825,-114.0564537"
"49.714875,-112.838027","49.1206551,-113.9994755"
"51.1183244,-114.2392112","51.2782396,-115.6372833"
"51.1183244,-114.2392112","51.0746763,-115.7789543"
"50.9198385,-114.087540333333","51.2782396,-115.6372833"
"50.9198385,-114.087540333333","51.0746763,-115.7789543"
"49.659479,-112.786276","49.0172699,-114.0461969"
"49.659479,-112.786276","49.1308275,-114.02692"
"49.659479,-112.786276","49.1293831,-114.029181"
"49.659479,-112.786276","49.0977994,-113.9510707"
"49.659479,-112.786276","49.0529453,-114.0582561"
"49.659479,-112.786276","49.0247222,-113.9975"
"49.659479,-112.786276","49.0783708,-113.9677638"
"49.659479,-112.786276","49.0173825,-114.0564537"
"49.659479,-112.786276","49.1206551,-113.9994755"
"53.400363,-117.607434","52.6812216,-118.0447912"
"53.400363,-117.607434","52.6669499,-118.043453"
"53.400363,-117.607434","52.7196584,-118.277607"
"53.400363,-117.607434","52.7256107,-118.24085"
"53.400363,-117.607434","52.7500791,-118.1415868"
"51.0294946666667,-114.339124666667","51.2782396,-115.6372833"
"51.0294946666667,-114.339124666667","51.0746763,-115.7789543"
"50.574028,-113.860947","50.6352591,-115.0207181"
"51.271786,-113.97832","50.5969496,-114.9880251"
"51.271786,-113.97832","51.2782396,-115.6372833"
"51.271786,-113.97832","50.6352591,-115.0207181"
"51.271786,-113.97832","50.60375,-114.98474"
"51.271786,-113.97832","50.5224824,-114.8401684"
"51.271786,-113.97832","50.5209579,-114.7725981"
"51.0719826666667,-114.084834444444","50.5969496,-114.9880251"
"51.0719826666667,-114.084834444444","51.2782396,-115.6372833"
"51.0719826666667,-114.084834444444","51.0746763,-115.7789543"
"51.0719826666667,-114.084834444444","50.6352591,-115.0207181"
"51.0719826666667,-114.084834444444","50.60375,-114.98474"
"51.0719826666667,-114.084834444444","50.5224824,-114.8401684"
"51.0818673333333,-114.049619333333","50.5969496,-114.9880251"
"51.0818673333333,-114.049619333333","51.2782396,-115.6372833"
"51.0818673333333,-114.049619333333","50.6352591,-115.0207181"
"51.0818673333333,-114.049619333333","50.60375,-114.98474"
"51.0818673333333,-114.049619333333","50.5224824,-114.8401684"
"51.0818673333333,-114.049619333333","50.5209579,-114.7725981"
"49.67277,-112.870628","49.0172699,-114.0461969"
"49.67277,-112.870628","49.1308275,-114.02692"
"49.67277,-112.870628","49.1293831,-114.029181"
"49.67277,-112.870628","49.0977994,-113.9510707"
"49.67277,-112.870628","49.0529453,-114.0582561"
"49.67277,-112.870628","49.0247222,-113.9975"
"49.67277,-112.870628","49.0783708,-113.9677638"
"49.67277,-112.870628","49.0173825,-114.0564537"
"49.67277,-112.870628","49.1206551,-113.9994755"
"51.14091575,-114.212478375","50.5969496,-114.9880251"
"51.14091575,-114.212478375","51.2782396,-115.6372833"
"51.14091575,-114.212478375","51.0746763,-115.7789543"
"51.14091575,-114.212478375","50.60375,-114.98474"
"51.14091575,-114.212478375","50.5224824,-114.8401684"
"51.012764,-114.073174","51.2782396,-115.6372833"
"51.012764,-114.073174","51.0746763,-115.7789543"
"53.387611,-117.597096","52.6812216,-118.0447912"
"53.387611,-117.597096","52.6669499,-118.043453"
"53.387611,-117.597096","52.7196584,-118.277607"
"53.387611,-117.597096","52.7256107,-118.24085"
"53.284551,-117.869208","52.3488156,-117.0926285"
"51.061933,-114.055120333333","50.5969496,-114.9880251"
"51.061933,-114.055120333333","51.2782396,-115.6372833"
"51.061933,-114.055120333333","50.6352591,-115.0207181"
"51.061933,-114.055120333333","50.60375,-114.98474"
"51.061933,-114.055120333333","50.5224824,-114.8401684"
"51.14091575,-114.212478375","50.6352591,-115.0207181"
"51.1402186666667,-114.083450777778","50.5969496,-114.9880251"
"51.1402186666667,-114.083450777778","51.2782396,-115.6372833"
"51.1402186666667,-114.083450777778","51.0746763,-115.7789543"
"51.1402186666667,-114.083450777778","50.6352591,-115.0207181"
"51.1402186666667,-114.083450777778","50.60375,-114.98474"
"51.1402186666667,-114.083450777778","50.5224824,-114.8401684"
"51.1402186666667,-114.083450777778","50.5209579,-114.7725981"
"51.0630699375,-114.1062215625","50.5969496,-114.9880251"
"51.0630699375,-114.1062215625","50.6352591,-115.0207181"
"51.0630699375,-114.1062215625","50.60375,-114.98474"
"51.0630699375,-114.1062215625","50.5224824,-114.8401684"
"51.0630699375,-114.1062215625","50.5209579,-114.7725981"
"51.0294846666667,-114.034320666667","50.5969496,-114.9880251"
"51.0294846666667,-114.034320666667","51.2782396,-115.6372833"
"51.0294846666667,-114.034320666667","50.6352591,-115.0207181"
"51.0294846666667,-114.034320666667","50.60375,-114.98474"
"51.0294846666667,-114.034320666667","50.5224824,-114.8401684"
"51.04064375,-114.07929","50.5969496,-114.9880251"
"51.04064375,-114.07929","51.2782396,-115.6372833"
"51.04064375,-114.07929","51.0746763,-115.7789543"
"51.04064375,-114.07929","50.6352591,-115.0207181"
"51.04064375,-114.07929","50.60375,-114.98474"
"53.399324,-117.588622","52.6812216,-118.0447912"
"53.399324,-117.588622","52.6669499,-118.043453"
"53.399324,-117.588622","52.7196584,-118.277607"
"53.399324,-117.588622","52.7256107,-118.24085"
"53.399324,-117.588622","52.7500791,-118.1415868"
"58.518792,-117.153433","58.75,-119.083333"
"51.0975848,-114.2002851","51.2782396,-115.6372833"
"51.0975848,-114.2002851","51.0746763,-115.7789543"
"51.0235534,-114.0983853","51.2782396,-115.6372833"
"51.0235534,-114.0983853","51.0746763,-115.7789543"
"50.402464,-113.260009","50.5224824,-114.8401684"
"50.402464,-113.260009","50.5209579,-114.7725981"
"51.164547,-114.121259","50.5969496,-114.9880251"
"51.164547,-114.121259","51.2782396,-115.6372833"
"51.164547,-114.121259","51.0746763,-115.7789543"
"51.164547,-114.121259","50.6352591,-115.0207181"
"51.164547,-114.121259","50.60375,-114.98474"
"51.164547,-114.121259","50.5224824,-114.8401684"
"51.164547,-114.121259","50.5209579,-114.7725981"
"49.676189,-112.800186","49.0172699,-114.0461969"
"49.676189,-112.800186","49.1308275,-114.02692"
"49.676189,-112.800186","49.1293831,-114.029181"
"49.676189,-112.800186","49.0977994,-113.9510707"
"49.676189,-112.800186","49.0529453,-114.0582561"
"49.676189,-112.800186","49.0247222,-113.9975"
"49.676189,-112.800186","49.0783708,-113.9677638"
"49.676189,-112.800186","49.0173825,-114.0564537"
"49.676189,-112.800186","49.1206551,-113.9994755"
"51.1075493333333,-113.944845666667","50.5969496,-114.9880251"
"51.1075493333333,-113.944845666667","51.2782396,-115.6372833"
"51.1075493333333,-113.944845666667","50.6352591,-115.0207181"
