pc_loc,hot_loc
"51.1075493333333,-113.944845666667","50.60375,-114.98474"
"51.1075493333333,-113.944845666667","50.5224824,-114.8401684"
"51.1075493333333,-113.944845666667","50.5209579,-114.7725981"
"50.934515125,-114.02741525","51.2782396,-115.6372833"
"50.979478,-114.064744","51.2782396,-115.6372833"
"51.0235534,-114.0983853","50.5969496,-114.9880251"
"51.14091575,-114.212478375","50.5209579,-114.7725981"
"51.0975848,-114.2002851","50.5969496,-114.9880251"
"51.188247,-114.433677","51.2782396,-115.6372833"
"51.188247,-114.433677","51.0746763,-115.7789543"
"51.188247,-114.433677","51.4842692,-116.0776806"
"51.303158,-114.014079","50.5969496,-114.9880251"
"51.303158,-114.014079","51.2782396,-115.6372833"
"51.303158,-114.014079","50.6352591,-115.0207181"
"51.303158,-114.014079","50.60375,-114.98474"
"51.303158,-114.014079","50.5224824,-114.8401684"
"51.303158,-114.014079","50.5209579,-114.7725981"
"50.9446075555556,-114.115199333333","51.2782396,-115.6372833"
"50.9446075555556,-114.115199333333","51.0746763,-115.7789543"
"53.383356,-117.62883","52.6812216,-118.0447912"
"53.383356,-117.62883","52.6669499,-118.043453"
"53.383356,-117.62883","52.7196584,-118.277607"
"53.383356,-117.62883","52.7256107,-118.24085"
"51.025196,-113.985368","50.5969496,-114.9880251"
"51.025196,-113.985368","51.2782396,-115.6372833"
"51.025196,-113.985368","50.6352591,-115.0207181"
"51.025196,-113.985368","50.60375,-114.98474"
"51.025196,-113.985368","50.5224824,-114.8401684"
"51.1166473571429,-114.148970285714","50.5209579,-114.7725981"
"51.0818673333333,-114.049619333333","51.0746763,-115.7789543"
"49.690316,-112.826691","49.0172699,-114.0461969"
"49.690316,-112.826691","49.1308275,-114.02692"
"49.690316,-112.826691","49.1293831,-114.029181"
"49.690316,-112.826691","49.0977994,-113.9510707"
"49.690316,-112.826691","49.0529453,-114.0582561"
"49.690316,-112.826691","49.0247222,-113.9975"
"49.690316,-112.826691","49.0783708,-113.9677638"
"49.690316,-112.826691","49.0173825,-114.0564537"
"49.690316,-112.826691","49.1206551,-113.9994755"
"49.608823,-114.442842","50.5969496,-114.9880251"
"49.608823,-114.442842","50.60375,-114.98474"
"49.608823,-114.442842","50.5224824,-114.8401684"
"49.608823,-114.442842","50.5209579,-114.7725981"
"51.043832,-113.838602","50.5969496,-114.9880251"
"51.043832,-113.838602","50.6352591,-115.0207181"
"51.043832,-113.838602","50.60375,-114.98474"
"51.043832,-113.838602","50.5224824,-114.8401684"
"51.043832,-113.838602","50.5209579,-114.7725981"
"51.068285,-113.930933","50.5969496,-114.9880251"
"51.068285,-113.930933","50.6352591,-115.0207181"
"51.068285,-113.930933","50.60375,-114.98474"
"51.068285,-113.930933","50.5224824,-114.8401684"
"51.068285,-113.930933","50.5209579,-114.7725981"
"50.8979386666667,-114.048853","51.2782396,-115.6372833"
"49.673878,-112.816791","49.0172699,-114.0461969"
"49.673878,-112.816791","49.1308275,-114.02692"
"49.673878,-112.816791","49.1293831,-114.029181"
"49.673878,-112.816791","49.0977994,-113.9510707"
"49.673878,-112.816791","49.0529453,-114.0582561"
"49.673878,-112.816791","49.0247222,-113.9975"
"49.673878,-112.816791","49.0783708,-113.9677638"
"49.673878,-112.816791","49.0173825,-114.0564537"
"49.673878,-112.816791","49.1206551,-113.9994755"
"50.953147,-114.580064","51.2782396,-115.6372833"
"50.953147,-114.580064","51.0746763,-115.7789543"
"49.696915,-112.883778","49.0172699,-114.0461969"
"49.696915,-112.883778","49.1308275,-114.02692"
"49.696915,-112.883778","49.1293831,-114.029181"
"49.696915,-112.883778","49.0977994,-113.9510707"
"49.696915,-112.883778","49.0529453,-114.0582561"
"49.696915,-112.883778","49.0247222,-113.9975"
"49.696915,-112.883778","49.0783708,-113.9677638"
"49.696915,-112.883778","49.0173825,-114.0564537"
"49.696915,-112.883778","49.1206551,-113.9994755"
"49.692428,-112.814999","49.0172699,-114.0461969"
"49.692428,-112.814999","49.1308275,-114.02692"
"49.692428,-112.814999","49.1293831,-114.029181"
"49.692428,-112.814999","49.0977994,-113.9510707"
"49.692428,-112.814999","49.0529453,-114.0582561"
"49.692428,-112.814999","49.0247222,-113.9975"
"49.692428,-112.814999","49.0783708,-113.9677638"
"49.692428,-112.814999","49.0173825,-114.0564537"
"49.692428,-112.814999","49.1206551,-113.9994755"
"49.415316,-112.868525","49.0172699,-114.0461969"
"49.415316,-112.868525","49.1308275,-114.02692"
"49.415316,-112.868525","49.1293831,-114.029181"
"49.415316,-112.868525","49.0977994,-113.9510707"
"49.415316,-112.868525","49.0529453,-114.0582561"
"49.415316,-112.868525","49.0247222,-113.9975"
"49.415316,-112.868525","49.0783708,-113.9677638"
"49.415316,-112.868525","49.0173825,-114.0564537"
"49.415316,-112.868525","49.1206551,-113.9994755"
"51.416895,-116.212982","52.2085265,-117.2356916"
"49.672185,-112.792311","49.0172699,-114.0461969"
"49.672185,-112.792311","49.1308275,-114.02692"
"49.672185,-112.792311","49.1293831,-114.029181"
"49.672185,-112.792311","49.0977994,-113.9510707"
"49.672185,-112.792311","49.0529453,-114.0582561"
"49.672185,-112.792311","49.0247222,-113.9975"
"49.672185,-112.792311","49.0783708,-113.9677638"
"49.672185,-112.792311","49.0173825,-114.0564537"
"49.672185,-112.792311","49.1206551,-113.9994755"
"49.658658,-112.867646","49.0172699,-114.0461969"
"49.658658,-112.867646","49.1308275,-114.02692"
"49.658658,-112.867646","49.1293831,-114.029181"
"49.658658,-112.867646","49.0977994,-113.9510707"
"49.658658,-112.867646","49.0529453,-114.0582561"
"49.658658,-112.867646","49.0247222,-113.9975"
"49.658658,-112.867646","49.0783708,-113.9677638"
"49.658658,-112.867646","49.0173825,-114.0564537"
"49.658658,-112.867646","49.1206551,-113.9994755"
"49.502222,-112.521665","49.1308275,-114.02692"
"49.502222,-112.521665","49.1293831,-114.029181"
"49.502222,-112.521665","49.0977994,-113.9510707"
"49.502222,-112.521665","49.0247222,-113.9975"
"49.502222,-112.521665","49.0783708,-113.9677638"
"49.502222,-112.521665","49.1206551,-113.9994755"
"49.726292,-112.813189","49.0172699,-114.0461969"
"49.726292,-112.813189","49.1308275,-114.02692"
"49.726292,-112.813189","49.1293831,-114.029181"
"49.726292,-112.813189","49.0977994,-113.9510707"
"49.726292,-112.813189","49.0529453,-114.0582561"
"49.726292,-112.813189","49.0247222,-113.9975"
"49.726292,-112.813189","49.0783708,-113.9677638"
"49.726292,-112.813189","49.0173825,-114.0564537"
"49.726292,-112.813189","49.1206551,-113.9994755"
"49.677034,-112.814321","49.0172699,-114.0461969"
"49.677034,-112.814321","49.1308275,-114.02692"
"49.677034,-112.814321","49.1293831,-114.029181"
"49.677034,-112.814321","49.0977994,-113.9510707"
"49.677034,-112.814321","49.0529453,-114.0582561"
"49.677034,-112.814321","49.0247222,-113.9975"
"49.677034,-112.814321","49.0783708,-113.9677638"
"49.677034,-112.814321","49.0173825,-114.0564537"
"49.677034,-112.814321","49.1206551,-113.9994755"
"49.716155,-112.833563","49.0172699,-114.0461969"
"49.716155,-112.833563","49.1308275,-114.02692"
"49.716155,-112.833563","49.1293831,-114.029181"
"49.716155,-112.833563","49.0977994,-113.9510707"
"49.716155,-112.833563","49.0529453,-114.0582561"
"49.716155,-112.833563","49.0247222,-113.9975"
"49.716155,-112.833563","49.0783708,-113.9677638"
"49.716155,-112.833563","49.0173825,-114.0564537"
"49.716155,-112.833563","49.1206551,-113.9994755"
"51.0440662727273,-114.130686","50.5969496,-114.9880251"
"49.677269,-112.783646","49.0172699,-114.0461969"
"49.677269,-112.783646","49.1308275,-114.02692"
"49.677269,-112.783646","49.1293831,-114.029181"
"49.677269,-112.783646","49.0977994,-113.9510707"
"49.677269,-112.783646","49.0529453,-114.0582561"
"49.677269,-112.783646","49.0247222,-113.9975"
"49.677269,-112.783646","49.0783708,-113.9677638"
"49.677269,-112.783646","49.0173825,-114.0564537"
"49.677269,-112.783646","49.1206551,-113.9994755"
"53.389439,-117.590591","52.6812216,-118.0447912"
"53.389439,-117.590591","52.6669499,-118.043453"
"53.389439,-117.590591","52.7196584,-118.277607"
"53.389439,-117.590591","52.7256107,-118.24085"
"53.389439,-117.590591","52.7500791,-118.1415868"
"49.665465,-112.808936","49.0172699,-114.0461969"
"49.665465,-112.808936","49.1308275,-114.02692"
"49.665465,-112.808936","49.1293831,-114.029181"
"49.665465,-112.808936","49.0977994,-113.9510707"
"49.665465,-112.808936","49.0529453,-114.0582561"
"49.665465,-112.808936","49.0247222,-113.9975"
"49.665465,-112.808936","49.0783708,-113.9677638"
"49.665465,-112.808936","49.0173825,-114.0564537"
"49.665465,-112.808936","49.1206551,-113.9994755"
"51.190841,-114.493221","51.2782396,-115.6372833"
"51.190841,-114.493221","51.0746763,-115.7789543"
"51.190841,-114.493221","51.4842692,-116.0776806"
"50.93609575,-113.99271675","51.2782396,-115.6372833"
"53.389843,-117.609112","52.6812216,-118.0447912"
"53.389843,-117.609112","52.6669499,-118.043453"
"53.389843,-117.609112","52.7196584,-118.277607"
"53.389843,-117.609112","52.7256107,-118.24085"
"50.93609575,-113.99271675","50.5969496,-114.9880251"
"50.93609575,-113.99271675","50.6352591,-115.0207181"
"51.085602,-113.94991","50.5969496,-114.9880251"
"51.085602,-113.94991","51.2782396,-115.6372833"
"51.085602,-113.94991","50.6352591,-115.0207181"
"51.085602,-113.94991","50.60375,-114.98474"
"51.085602,-113.94991","50.5224824,-114.8401684"
"51.085602,-113.94991","50.5209579,-114.7725981"
"49.674381,-112.886989","49.0172699,-114.0461969"
"49.674381,-112.886989","49.1308275,-114.02692"
"49.674381,-112.886989","49.1293831,-114.029181"
"49.674381,-112.886989","49.0977994,-113.9510707"
"49.674381,-112.886989","49.0529453,-114.0582561"
"49.674381,-112.886989","49.0247222,-113.9975"
"49.674381,-112.886989","49.0783708,-113.9677638"
"49.674381,-112.886989","49.0173825,-114.0564537"
"49.674381,-112.886989","49.1206551,-113.9994755"
"49.667474,-112.890448","49.0172699,-114.0461969"
"49.667474,-112.890448","49.1308275,-114.02692"
"49.667474,-112.890448","49.1293831,-114.029181"
"49.667474,-112.890448","49.0977994,-113.9510707"
"49.667474,-112.890448","49.0529453,-114.0582561"
"49.667474,-112.890448","49.0247222,-113.9975"
"49.667474,-112.890448","49.0783708,-113.9677638"
"49.667474,-112.890448","49.0173825,-114.0564537"
"49.667474,-112.890448","49.1206551,-113.9994755"
"49.6698,-112.889144","49.0172699,-114.0461969"
"49.6698,-112.889144","49.1308275,-114.02692"
"49.6698,-112.889144","49.1293831,-114.029181"
"49.6698,-112.889144","49.0977994,-113.9510707"
"49.6698,-112.889144","49.0529453,-114.0582561"
"49.6698,-112.889144","49.0247222,-113.9975"
"49.6698,-112.889144","49.0783708,-113.9677638"
"49.6698,-112.889144","49.0173825,-114.0564537"
"49.6698,-112.889144","49.1206551,-113.9994755"
"51.185247,-114.295536","50.5969496,-114.9880251"
"51.185247,-114.295536","51.2782396,-115.6372833"
"51.185247,-114.295536","51.0746763,-115.7789543"
"51.185247,-114.295536","50.60375,-114.98474"
"51.185247,-114.295536","50.5224824,-114.8401684"
"51.185247,-114.295536","50.5209579,-114.7725981"
"50.580649,-113.872256","50.6352591,-115.0207181"
"51.565021,-114.098736","51.2782396,-115.6372833"
"51.080107,-113.948223","50.5969496,-114.9880251"
"51.080107,-113.948223","50.6352591,-115.0207181"
"51.080107,-113.948223","50.60375,-114.98474"
"51.080107,-113.948223","50.5224824,-114.8401684"
"51.080107,-113.948223","50.5209579,-114.7725981"
"49.673691,-112.891712","49.0172699,-114.0461969"
"49.673691,-112.891712","49.1308275,-114.02692"
"49.673691,-112.891712","49.1293831,-114.029181"
"49.673691,-112.891712","49.0977994,-113.9510707"
"49.673691,-112.891712","49.0529453,-114.0582561"
"49.673691,-112.891712","49.0247222,-113.9975"
"49.673691,-112.891712","49.0783708,-113.9677638"
"49.673691,-112.891712","49.0173825,-114.0564537"
"49.673691,-112.891712","49.1206551,-113.9994755"
"49.72474,-112.610535","49.0977994,-113.9510707"
"52.876784,-118.081408","52.2085265,-117.2356916"
"52.876784,-118.081408","52.3488156,-117.0926285"
"49.66558,-112.874092","49.0172699,-114.0461969"
"49.66558,-112.874092","49.1308275,-114.02692"
"49.66558,-112.874092","49.1293831,-114.029181"
"49.66558,-112.874092","49.0977994,-113.9510707"
"49.66558,-112.874092","49.0529453,-114.0582561"
"49.66558,-112.874092","49.0247222,-113.9975"
"49.66558,-112.874092","49.0783708,-113.9677638"
"49.66558,-112.874092","49.0173825,-114.0564537"
"49.66558,-112.874092","49.1206551,-113.9994755"
"51.246372,-114.482156","50.5969496,-114.9880251"
"51.246372,-114.482156","51.2782396,-115.6372833"
"51.246372,-114.482156","51.0746763,-115.7789543"
"51.246372,-114.482156","51.4842692,-116.0776806"
"51.246372,-114.482156","50.5224824,-114.8401684"
"51.246372,-114.482156","50.5209579,-114.7725981"
